antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'PLASTERS IN TIN STRONGMAN'}),frozenset({'PLASTERS IN TIN CIRCUS PARADE'}),0.07883817427385892,0.16182572614107885,0.07053941908713693,0.8947368421052632,5.529014844804318,1.0,0.05778137428763279,7.962655601659752,0.8892421833598304,0.4146341463414634,0.8744137571651902,0.6653171390013495
frozenset({'SET/6 RED SPOTTY PAPER PLATES'}),frozenset({'SET/6 RED SPOTTY PAPER CUPS'}),0.12033195020746888,0.13278008298755187,0.0995850622406639,0.8275862068965516,6.232758620689654,1.0,0.08360737590606221,5.0298755186721955,0.9544025157232703,0.6486486486486486,0.8011879227850188,0.7887931034482758
frozenset({'DOLLY GIRL LUNCH BOX'}),frozenset({'SPACEBOY LUNCH BOX'}),0.08713692946058091,0.13278008298755187,0.07053941908713693,0.8095238095238095,6.096726190476191,1.0,0.05896937036208054,4.552904564315353,0.9157754010695187,0.4722222222222222,0.7803599908863067,0.6703869047619048
frozenset({'STRAWBERRY LUNCH BOX WITH CUTLERY'}),frozenset({'LUNCH BOX WITH CUTLERY RETROSPOT'}),0.14937759336099585,0.17427385892116182,0.12033195020746888,0.8055555555555556,4.622354497354498,1.0,0.09429934057609202,4.246591582691168,0.9212783851976452,0.5918367346938778,0.7645170295924065,0.748015873015873
frozenset({'PLASTERS IN TIN SPACEBOY'}),frozenset({'PLASTERS IN TIN CIRCUS PARADE'}),0.11618257261410789,0.16182572614107885,0.0912863070539419,0.7857142857142857,4.855311355311355,1.0,0.07248497787572528,3.9114799446749653,0.8984208279982928,0.4888888888888889,0.7443422913719944,0.674908424908425
frozenset({'SET/6 RED SPOTTY PAPER CUPS'}),frozenset({'SET/6 RED SPOTTY PAPER PLATES'}),0.13278008298755187,0.12033195020746888,0.0995850622406639,0.75,6.232758620689655,1.0,0.08360737590606221,3.5186721991701244,0.9681020733652311,0.6486486486486486,0.7158018867924528,0.7887931034482758
frozenset({'CIRCUS PARADE LUNCH BOX'}),frozenset({'SPACEBOY LUNCH BOX'}),0.11618257261410789,0.13278008298755187,0.08713692946058091,0.7499999999999999,5.648437499999999,1.0,0.07171019782717239,3.4688796680497913,0.9311424100156495,0.5384615384615384,0.7117224880382774,0.703125
frozenset({'PLASTERS IN TIN WOODLAND ANIMALS'}),frozenset({'PLASTERS IN TIN CIRCUS PARADE'}),0.13692946058091288,0.16182572614107885,0.0995850622406639,0.7272727272727272,4.494172494172493,1.0,0.07742635285205143,3.073305670816043,0.900841346153846,0.4999999999999998,0.6746174617461745,0.6713286713286712
frozenset({'LUNCH BOX WITH CUTLERY RETROSPOT'}),frozenset({'STRAWBERRY LUNCH BOX WITH CUTLERY'}),0.17427385892116182,0.14937759336099585,0.12033195020746888,0.6904761904761906,4.6223544973544985,1.0,0.09429934057609202,2.748164698372168,0.9490556229422978,0.5918367346938778,0.6361207897793265,0.748015873015873
frozenset({'ROUND SNACK BOXES SET OF 4 FRUITS'}),frozenset({'ROUND SNACK BOXES SET OF4 WOODLAND'}),0.14522821576763487,0.2033195020746888,0.0954356846473029,0.657142857142857,3.2320699708454805,1.0,0.06590795613023191,2.323651452282157,0.8079358379062896,0.3770491803278688,0.569642857142857,0.5632653061224488
frozenset({'SPACEBOY LUNCH BOX'}),frozenset({'CIRCUS PARADE LUNCH BOX'}),0.13278008298755187,0.11618257261410789,0.08713692946058091,0.65625,5.6484375,1.0,0.07171019782717239,2.5711052433044133,0.94896331738437,0.5384615384615384,0.61106220657277,0.703125
frozenset({'PLASTERS IN TIN SPACEBOY'}),frozenset({'PLASTERS IN TIN WOODLAND ANIMALS'}),0.11618257261410789,0.13692946058091288,0.07468879668049792,0.6428571428571428,4.694805194805194,1.0,0.05877997968354539,2.416597510373444,0.8904538341158059,0.4186046511627907,0.5861950549450549,0.5941558441558441
frozenset({'PLASTERS IN TIN CIRCUS PARADE'}),frozenset({'PLASTERS IN TIN WOODLAND ANIMALS'}),0.16182572614107885,0.13692946058091288,0.0995850622406639,0.6153846153846153,4.494172494172493,1.0,0.07742635285205143,2.243983402489626,0.92759900990099,0.4999999999999998,0.5543639053254437,0.6713286713286712
frozenset({'CIRCUS PARADE LUNCH BOX'}),frozenset({'PLASTERS IN TIN CIRCUS PARADE'}),0.11618257261410789,0.16182572614107885,0.07053941908713693,0.6071428571428571,3.7518315018315014,1.0,0.0517380899089203,2.133534515277254,0.8298812482739575,0.33999999999999997,0.5312942008486562,0.5215201465201464
frozenset({'PLASTERS IN TIN CIRCUS PARADE'}),frozenset({'PLASTERS IN TIN SPACEBOY'}),0.16182572614107885,0.11618257261410789,0.0912863070539419,0.5641025641025641,4.855311355311355,1.0,0.07248497787572528,2.0275811569441053,0.9473447344734472,0.4888888888888889,0.5068014927169856,0.674908424908425
frozenset({'PLASTERS IN TIN WOODLAND ANIMALS'}),frozenset({'PLASTERS IN TIN SPACEBOY'}),0.13692946058091288,0.11618257261410789,0.07468879668049792,0.5454545454545454,4.694805194805194,1.0,0.05877997968354539,1.9443983402489624,0.9118589743589742,0.4186046511627907,0.4857020913358941,0.5941558441558441
frozenset({'SPACEBOY LUNCH BOX'}),frozenset({'DOLLY GIRL LUNCH BOX'}),0.13278008298755187,0.08713692946058091,0.07053941908713693,0.53125,6.096726190476191,1.0,0.05896937036208054,1.9474412171507607,0.9639741063889671,0.4722222222222222,0.4865056818181818,0.6703869047619048
frozenset({'WOODLAND CHARLOTTE BAG'}),frozenset({'RED SPOTTY CHARLOTTE BAG'}),0.13278008298755187,0.15352697095435686,0.07053941908713693,0.53125,3.460304054054054,1.0,0.05015409514298996,1.8058091286307054,0.8198705319448354,0.3269230769230769,0.4462316176470588,0.4953547297297297
frozenset({'PLASTERS IN TIN WOODLAND ANIMALS'}),frozenset({'LUNCH BOX WITH CUTLERY RETROSPOT'}),0.13692946058091288,0.17427385892116182,0.07053941908713693,0.5151515151515151,2.955988455988456,1.0,0.04667619359170813,1.7030601659751037,0.7666855203619909,0.29310344827586204,0.4128216841784681,0.45995670995670995
frozenset({'LUNCH BAG RED SPOTTY'}),frozenset({'RED/WHITE DOT MINI CASES'}),0.13692946058091288,0.18672199170124482,0.07053941908713693,0.5151515151515151,2.758922558922559,1.0,0.04497167748489178,1.6773858921161826,0.7386877828054297,0.27868852459016397,0.4038342609771181,0.44646464646464645
frozenset({'LUNCH BAG RED SPOTTY'}),frozenset({'ROUND SNACK BOXES SET OF 4 FRUITS'}),0.13692946058091288,0.14522821576763487,0.07053941908713693,0.5151515151515151,3.5471861471861468,1.0,0.05065339784094626,1.762966804979253,0.8320135746606334,0.3333333333333333,0.4327743453957046,0.5004329004329005
frozenset({'ROUND SNACK BOXES SET OF 4 FRUITS'}),frozenset({'LUNCH BAG RED SPOTTY'}),0.14522821576763487,0.13692946058091288,0.07053941908713693,0.48571428571428565,3.5471861471861463,1.0,0.05065339784094626,1.6781927155371137,0.8400913763563678,0.3333333333333333,0.404120879120879,0.5004329004329005
frozenset({'ROUND SNACK BOXES SET OF4 WOODLAND'}),frozenset({'ROUND SNACK BOXES SET OF 4 FRUITS'}),0.2033195020746888,0.14522821576763487,0.0954356846473029,0.4693877551020408,3.2320699708454805,1.0,0.06590795613023191,1.6109160548994572,0.8668478260869565,0.3770491803278688,0.37923518922131955,0.5632653061224488
frozenset({'RED SPOTTY CHARLOTTE BAG'}),frozenset({'WOODLAND CHARLOTTE BAG'}),0.15352697095435686,0.13278008298755187,0.07053941908713693,0.45945945945945943,3.460304054054054,1.0,0.05015409514298996,1.604356846473029,0.8399653979238755,0.3269230769230769,0.3766972714341135,0.4953547297297297
frozenset({'RED SPOTTY CHARLOTTE BAG'}),frozenset({'RED/WHITE DOT MINI CASES'}),0.15352697095435686,0.18672199170124482,0.07053941908713693,0.45945945945945943,2.4606606606606602,1.0,0.041872557290680255,1.504564315352697,0.7012687427912341,0.2615384615384615,0.33535576392719246,0.4186186186186186
frozenset({'PLASTERS IN TIN CIRCUS PARADE'}),frozenset({'CIRCUS PARADE LUNCH BOX'}),0.16182572614107885,0.11618257261410789,0.07053941908713693,0.43589743589743585,3.7518315018315014,1.0,0.0517380899089203,1.566767257638627,0.8750728013977869,0.33999999999999997,0.36174310822198147,0.5215201465201464
frozenset({'PLASTERS IN TIN CIRCUS PARADE'}),frozenset({'PLASTERS IN TIN STRONGMAN'}),0.16182572614107885,0.07883817427385892,0.07053941908713693,0.43589743589743585,5.529014844804318,1.0,0.05778137428763279,1.6329686910599774,0.9772859638905067,0.4146341463414634,0.3876183876183875,0.6653171390013495
